Mode,Definition,Rail,Bus,Cable,Van,Boat
TR,Aerial Tramways,FALSE,FALSE,TRUE,FALSE,FALSE
AR,Alaska Railroad,TRUE,FALSE,FALSE,FALSE,FALSE
MB,Bus,FALSE,TRUE,FALSE,FALSE,FALSE
RB,Bus Rapid Transit,FALSE,TRUE,FALSE,FALSE,FALSE
CC,Cable Car,TRUE,FALSE,FALSE,FALSE,FALSE
CB,Commuter Bus,FALSE,TRUE,FALSE,FALSE,FALSE
CR,Commuter Rail,TRUE,FALSE,FALSE,FALSE,FALSE
DR,Demand Response,FALSE,TRUE,FALSE,FALSE,FALSE
FB,Ferryboat,FALSE,FALSE,FALSE,FALSE,TRUE
HR,Heavy Rail,TRUE,FALSE,FALSE,FALSE,FALSE
YR,Hybrid Rail,TRUE,FALSE,FALSE,FALSE,FALSE
IP,Inclined Plane,TRUE,FALSE,FALSE,FALSE,FALSE
LR,Light Rail,TRUE,FALSE,FALSE,FALSE,FALSE
MG,Monorail and Automated Guideway modes,TRUE,FALSE,FALSE,FALSE,FALSE
PB,Publico,FALSE,FALSE,FALSE,TRUE,FALSE
SR,Streetcar Rail,TRUE,FALSE,FALSE,FALSE,FALSE
TB,Trolleybus,FALSE,TRUE,FALSE,FALSE,FALSE
VP,Vanpool,FALSE,FALSE,FALSE,TRUE,FALSE
